Question,Correct Answer,G Model Answer,Base Line Model Answer
"Which of the four main characters in Seinfeld said the following quote: 'Karate, Jerry. Karate. The lifetime pursuit of balance and harmony.'?",COSMO KRAMER,GEORGE COSTANZA,The correct answer is Jerry Seinfeld.
"Which of the four main characters in Seinfeld said the following quote: 'Well, I couldn't do it I got a gamblin' problem.'?",COSMO KRAMER,GEORGE COSTANZA.,The correct answer is: GEORGE COSTAN
"Which of the four main characters in Seinfeld said the following quote: 'Oh, no. I'm fine. Serenity now. Serenity now. Serenity now.'?",COSMO KRAMER,The correct answer is: COSMO KRAMER,The correct answer is COSMO KRAMER.
Which of the four main characters in Seinfeld said the following quote: 'Look at the stitching  This is old world craftsmanship.'?,COSMO KRAMER,COSMO KRAMER,The quote 'Look at the stitching. This is
Which of the four main characters in Seinfeld said the following quote: 'Mail fraud. Your in a lot of trouble buddy.'?,COSMO KRAMER,The correct answer is: Cosmo Kramer.,The quote 'Mail fraud. You're in a
"Which of the four main characters in Seinfeld said the following quote: 'That's right, I think that had marvellous production values.'?",COSMO KRAMER,ELAIN BENES,"The quote 'That's right, I think that"
Which of the four main characters in Seinfeld said the following quote: 'Little Jerry Seinfeld. I named my chicken after you.'?,COSMO KRAMER,GEORGE COSTANZA.,The correct answer is Jerry Seinfeld.
"Which of the four main characters in Seinfeld said the following quote: 'Believe me George, you can count on Slippery Pete.'?",COSMO KRAMER,ELAIN BENES.,"The quote 'Believe me George, you can"
"Which of the four main characters in Seinfeld said the following quote: 'Well, occasionally I like to help the humans.'?",COSMO KRAMER,COSMO KRAMER.,"The quote 'Well, occasionally I like to help"
"Which of the four main characters in Seinfeld said the following quote: 'Oh, yeah, yeah, Okay, we're going.  Vamanos, muchachos!'?",COSMO KRAMER,COSMO KRAMER,"The quote 'Oh, yeah, yeah, Okay"
"Which of the four main characters in Seinfeld said the following quote: 'Jerry, good manners are the glue of society.'?",COSMO KRAMER,ELAIN BENES,The correct answer is Jerry Seinfeld.
"Which of the four main characters in Seinfeld said the following quote: 'Oh yeah yeah yeah. Orthodox, Jerry. Old school.'?",COSMO KRAMER,ELAIN BENES,"The quote 'Oh yeah yeah yeah. Orthodox,"
"Which of the four main characters in Seinfeld said the following quote: 'Jerry, it's kreplach. It's an acquired taste, yeah.'?",COSMO KRAMER,ELAIN BENES.,"The quote 'Jerry, it's kreplach"
"Which of the four main characters in Seinfeld said the following quote: 'Yeah, and you're an anti-dentite.'?",COSMO KRAMER,The correct answer is Jerry Seinfeld.,"The quote 'Yeah, and you're an anti"
